timestamp,stores
828,1
1783,2
2774,3
3864,4
4871,5
5941,6
7008,7
8023,8
9122,9
10200,10
11295,11
12392,12
13564,13
14623,14
15709,15
16811,16
17846,17
18915,18
20109,19
21247,20
22359,21
23439,22
24555,23
25699,24
26948,25
28016,26
29215,27
30310,28
31696,29
32855,30
34031,31
35114,32
36321,33
37527,34
38723,35
39976,36
41110,37
42307,38
43578,39
44868,40
46042,41
47197,42
48401,43
49711,44
50951,45
52107,46
53400,47
54686,48
55927,49
57312,50
58574,51
59949,52
61243,53
62449,54
63655,55
64863,56
66179,57
67364,58
68591,59
69770,60
70951,61
72160,62
73328,63
74693,64
75977,65
77403,66
78822,67
80099,68
81544,69
83003,70
84295,71
85659,72
86992,73
88331,74
89695,75
90914,76
92305,77
93560,78
94807,79
96204,80
97523,81
98813,82
100119,83
101439,84
102851,85
104271,86
105525,87
107090,88
108520,89
110048,90
111483,91
113091,92
114478,93
115925,94
120128,95
122595,96
128980,97
141853,98
161989,99
205555,100
